name,size,sediaan,no_ie,prinsipal,indikasi,status,ref,link
ITRABAT,"DUS, 1 BOTOL © 100
ML",S1RUP,DTL9910904137A1,ITRASAL,OBAT BATUK ANAK DAN DEWASA,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
ALERFED,"DUS, 1 BOTOL © 60 ML",SIRUP,DTL9708007637A1,GUARDIAN PHARMATAMA,OBAT FLU ANAK DAN DEWASA,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
ALERGON,"DUS, 1 BOTOL PLASTIK
© 60 ML",SIRUP,DTL1413025037A1,KONIMEX,OBAT ALERGI ANAK DAN DEWASA,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
AMBROXOL HCL,BOTOL © 60 ML,SIRUP,GKL1106313037A1,"ERLANGGA EDI LABORATORIES
(ERELA)",OBAT BATUK ANAK DAN DEWASA,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
ASTEROL,"DUS, 1 BOTOL © 60 ML",SIRUP,DKL1915630737A1,MEPROFARM,OBAT ASMA ANAK DAN DEWASA,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
BATUKSIN,"DUS, BOTOL © 60 ML",SIRUP,DTL8711702037A1,KALIROTO,OBAT BATUK ANAK DAN DEWASA,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
B-DEX,"DUS, 1 BOTOL © 60 ML",SIRUP,DKL2043007237A1,"NULAB PHARMACEUTICAL
INDONESIA",OBAT ALERGI ANAK DAN DEWASA,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
BDM,"DUS, 1 BOTOL © 60 ML",SIRUP,DKL1943003410A1,"NULAB PHARMACEUTICAL
INDONESIA",OBAT ALERGI ANAK DAN DEWASA,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
BISOLVON,"DUS, 1 BOTOL @ 50 ML","LARUTAN i
CAIRAN",DTL1721206735A1,AVENTIS PHARMA,OBAT BATUK ANAK,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
BODREXIN PILEK & ALERGI,"DUS, BOTOL © 56 ML",SIRUP,DTL0822720337A1,TEMPO SCAN PACIFIC Tbk,OBAT FLU ANAK,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing
